fdp_mx,fdp_cpi,fdp_cpi_lasso,power_mx,power_cpi,power_cpi_lasso
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
0.375,0.0,0.0,1.0,1.0,1.0
0.4444444444444444,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.16666666666666666,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
